                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6725,                  2.878,                 1.4965,                0.84021,                0.85628,                0.91732,                0.48936,                 1.4563,                 1.1327,                 1.3097,             0.00066286,             0.00066286,             0.00066286
                      2,                 1.5007,                 1.3389,                 1.3875,                0.83386,                 0.8664,                0.91327,                0.49755,                 1.4166,                 2.2716,                 1.3454,              0.0012769,              0.0012769,              0.0012769
                      3,                 1.4499,                 1.2369,                 1.3532,                0.87557,                0.84037,                0.92728,                0.57237,                 1.2297,                 1.0608,                 1.2365,              0.0018381,              0.0018381,              0.0018381
                      4,                 1.4048,                  1.177,                 1.3413,                0.90979,                0.91869,                0.95623,                  0.593,                 1.1888,                0.84975,                 1.1867,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.3295,                   1.07,                 1.2872,                0.96652,                0.93495,                0.98367,                 0.6813,                  1.017,                0.70187,                 1.0757,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.2596,                0.98662,                 1.2369,                0.97163,                0.93725,                0.98354,                0.62614,                 1.2409,                0.72129,                 1.1918,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.1955,                0.93772,                 1.2008,                0.99378,                0.97043,                0.99328,                0.74358,                0.93343,                0.57956,                 1.0619,               0.001604,               0.001604,               0.001604
                      8,                 1.1544,                0.86525,                 1.1752,                0.96432,                0.96356,                0.99092,                0.69606,                 1.0154,                0.79355,                 1.0821,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.0952,                0.81419,                 1.1499,                0.98086,                0.97571,                0.99192,                0.74183,                0.88911,                 0.5688,                  1.029,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.0829,                0.79251,                 1.1365,                0.97895,                0.97773,                0.99361,                0.71076,                0.97839,                0.64597,                 1.0655,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.0256,                0.73752,                 1.1016,                 0.9898,                0.98218,                0.99435,                0.70596,                 1.0343,                0.50113,                 1.0643,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.0211,                0.74901,                 1.0956,                0.99516,                0.98988,                0.99478,                0.74785,                0.91813,                0.47685,                 1.0329,               0.001208,               0.001208,               0.001208
                     13,                 1.0084,                0.69515,                 1.0964,                0.98787,                0.98903,                0.99459,                0.73647,                0.97138,                0.47346,                 1.0256,              0.0011288,              0.0011288,              0.0011288
                     14,                0.97133,                0.67759,                 1.0775,                0.99301,                0.98785,                0.99424,                0.77762,                0.86288,                0.46288,                 1.0052,              0.0010496,              0.0010496,              0.0010496
                     15,                0.96996,                0.66389,                  1.078,                0.99388,                 0.9865,                0.99469,                 0.7344,                0.95334,                0.51082,                 1.0497,              0.0009704,              0.0009704,              0.0009704
                     16,                0.84738,                0.55076,                 1.0313,                0.98989,                0.99053,                0.99482,                0.73468,                 1.0132,                0.48034,                 1.0384,              0.0008912,              0.0008912,              0.0008912
                     17,                0.81422,                0.51145,                 1.0123,                0.98701,                0.98785,                0.99438,                0.76493,                0.90929,                0.44236,                 1.0183,               0.000812,               0.000812,               0.000812
                     18,                0.78404,                0.48729,                0.99532,                0.99391,                 0.9919,                0.99486,                0.77618,                0.89587,                0.41553,                0.99922,              0.0007328,              0.0007328,              0.0007328
                     19,                0.78338,                0.47478,                0.99089,                0.99023,                 0.9919,                 0.9944,                0.76456,                0.95058,                0.45146,                 1.0301,              0.0006536,              0.0006536,              0.0006536
                     20,                0.74512,                 0.4481,                0.96616,                0.99391,                0.99154,                0.99482,                 0.7803,                0.89206,                0.42031,                0.99309,              0.0005744,              0.0005744,              0.0005744
                     21,                0.71621,                0.43331,                0.94948,                0.99741,                0.99393,                0.99492,                0.77768,                0.90585,                 0.3991,                0.98114,              0.0004952,              0.0004952,              0.0004952
                     22,                0.71662,                0.42522,                0.94417,                0.99356,                0.99595,                0.99486,                0.77977,                0.86388,                0.39894,                0.97921,               0.000416,               0.000416,               0.000416
                     23,                0.69145,                0.40545,                 0.9408,                 0.9929,                0.98988,                0.99427,                0.78166,                0.90493,                 0.3968,                0.98443,              0.0003368,              0.0003368,              0.0003368
                     24,                0.68203,                0.39089,                0.93335,                0.99567,                0.99393,                0.99488,                0.78748,                0.89847,                0.37991,                0.97388,              0.0002576,              0.0002576,              0.0002576
                     25,                0.66358,                0.38047,                0.92146,                0.99392,                0.99316,                0.99488,                0.81768,                0.79122,                0.36257,                0.94255,              0.0001784,              0.0001784,              0.0001784
